id,page_name,page_type
2415,Lenovo Middle East,company
2416,NYS  Department of Environmental Conservation,government
2417,Rahul Gandhi,politician
2418,Visit Japan,company
2419,Crocs,company
2420,Louisiana National Guard,government
2421,Communication for Development Ltd,company
2422,Returning Service Members - U.S. Dept. of Veterans Affairs,government
2423,Sodimac Homecenter,company
2424,Office of the Texas Secretary of State,government
2425,Jaguar,company
2426,"Mix 107.9 - Columbus, OH",company
2427,Le Père Ducros,company
2428,Applebee's Grill & Bar,company
2429,Dan Albas,politician
2430,Bosch Auto,company
2431,Eva Kjer Hansen,politician
2432,ไมค์ทองคำ,tvshow
2433,Jimmy Van Bramer,politician
2434,UK Parliament,government
2435,Albert Duin,politician
2436,City of Knoxville - Government,government
2437,Jennifer O'Connell,politician
2438,Herzkino im ZDF,tvshow
2439,Sir Roger Gale,politician
2440,Conexão Repórter,tvshow
2441,Chupa Chups,company
2442,Army Training Network (ATN),government
2443,José R. Nadal Power,politician
2444,NOAA Teacher at Sea Program,government
2445,David Monreal Avila,politician
2446,3HK,company
2447,Windows,company
2448,Kyivstar,company
2449,Manuel Mosca,politician
2450,"Regimental HHC, 3rd U.S. Infantry  ""Head Hunters""",government
2451,Dr Pepper,company
2452,Wellington Fagundes,politician
2453,Jarritos,company
2454,BASF,company
2455,Stephen Harper,politician
2456,My.com,company
2457,Oasis Be Fruit,company
2458,Pegasus Airlines,company
2459,U.S. Coast Guard Air Station New Orleans,government
2460,CIDI,government
2461,US National Weather Service Sacramento California,government
2462,MyGov India,government
2463,Canada Business,government
2464,"Ministério da Indústria, Comércio Exterior e Serviços",government
2465,WD,company
2466,quer,tvshow
2467,James Shaw MP,politician
2468,Caren Lay,politician
2469,Nick Hækkerup,politician
2470,Daniela Schmitt,politician
2471,Rita Schwarzelühr-Sutter,politician
2472,Bajaj Allianz Life Insurance,company
2473,MAP Active,company
2474,European Union at the UN – New York,government
2475,The No.1 Ladies' Detective Agency on HBO,tvshow
2476,Today's Shopping Choice,company
2477,Incredible Crew,tvshow
2478,Bully Beatdown,tvshow
2479,London Fashion Week,company
2480,Tassimo,company
2481,AbeBooks.com,company
2482,Amauri Teixeira,politician
2483,Cecil County Health Department,government
2484,Préfecture de la Haute-Saône,government
2485,Valor,tvshow
2486,Sógor Csaba,politician
2487,עספור,tvshow
2488,Rob Mitchell MP - Federal Labor Member for McEwen,politician
2489,FTO Fort Peck,government
2490,Cacao Barry,company
2491,"India in Nepal (Consulate General of India, Birgunj)",government
2492,Russ Feingold,politician
2493,South Africa National Convention Bureau,company
2494,Very Bad Kids,company
2495,evian,company
2496,USAID Zimbabwe,government
2497,Jude Perera,politician
2498,Shopbop,company
2499,Préfet du Puy-de-Dôme,government
2500,Damian Green MP,politician
2501,Pflegewelt von AXA,company
2502,Chorus,company
2503,Sea Patrol,tvshow
2504,Ça va chauffer,tvshow
2505,Thomas Rachel,politician
2506,Medical Service Corps Chief,government
2507,Dov Lipman,politician
2508,Enrique Alfaro Ramírez,politician
2509,National Institute on Aging - NIH,government
2510,Nestlé Sobremesas,company
2511,BOOST Nutritional Drink,company
2512,Instytut Polski w Petersburgu,government
2513,Tome Sus Medicinas en Serio,government
2514,Bergdorf Goodman,company
2515,SORAYA    SAENZ    DE    SANTAMARIA,politician
2516,INAS NACHT,tvshow
2517,Councilwoman Jessica P. Abbott,politician
2518,"New Zealand Embassy - Washington, D.C.",government
2519,Mizoram Votes,government
2520,Microsoft,company
2521,The Home Depot Careers,company
2522,iTrial.hk,company
2523,"City of Highland Park, Illinois - Government",government
2524,Laurette Onkelinx,politician
2525,gencat,government
2526,DHL Express Egypt,company
2527,MUDr. Gabriela Pecková - TOP 09,politician
2528,KLM Türkiye,company
2529,McDonald's België,company
2530,香港迪士尼樂園 | Hong Kong Disneyland,company
2531,Préfet de Mayotte,government
2532,The Grinder,tvshow
2533,Property Brothers,tvshow
2534,Scrubs,tvshow
2535,ANZ Australia,company
2536,Mundo Cristiano,tvshow
2537,Prefeitura de Camocim,government
2538,Link4,company
2539,La Banda,tvshow
2540,Gavin Newlands MP,politician
2541,Municipio de Quito,government
2542,Chupa Chups,company
2543,Hootsuite,company
2544,Fleet Week New York,government
2545,Darren Fisher,politician
2546,Tia & Tamera,tvshow
2547,Canon PH,company
2548,Chris Philp,politician
2549,LightInTheBox,company
2550,Bangko Sentral ng Pilipinas,government
2551,Britta Oellers,politician
2552,Avocados from Mexico,company
2553,Chipotle Mexican Grill,company
2554,The Mentalist,tvshow
2555,Tim Farron,politician
2556,China Airlines 中華航空,company
2557,Colin Carrie,politician
2558,"Karin Binder, MdB",politician
2559,Bosch Professional Power Tools and Accessories,company
2560,NESTEA,company
2561,ANZ New Zealand,company
2562,Victoria Police,government
2563,Valg i Norge,government
2564,Great Lakes Sea Lamprey Control Offices,government
2565,USAID Sudan,government
2566,Australia in Nigeria,government
2567,Embassy of the Netherlands in Poland,government
2568,LIC India Forever,company
2569,Wszyscy kochają Romana TVN,tvshow
2570,White House Initiative on Education Excellence for Hispanics,government
2571,Valadares Filho,politician
2572,Baltimore Police Department,government
2573,Ledningsregementet,government
2574,first direct,company
2575,Alexander Funk,politician
2576,Divorce Court,tvshow
2577,Lucozade Sport,company
2578,Mark Pawsey,politician
2579,"Geology and Mining, Government of Uttarakhand",government
2580,"Australia en México, Centroamérica, Cuba y República Dominicana",government
2581,Stayhard,company
2582,Brisk Canada,company
2583,Angeles National Forest,government
2584,Visita Taxco,government
2585,Questions d’argent - Gouvernement du Canada,government
2586,Sebastian Steineke,politician
2587,איוב קרא - Ayoob kara,politician
2588,land.nrw,government
2589,Gendarmeria Nacional,government
2590,Dr James Davies,politician
2591,Diário do Comércio,company
2592,Stuart Ayres,politician
2593,The Gates,tvshow
2594,Massachusetts Emergency Management Agency (MEMA),government
2595,The North Face,company
2596,Resolute Support Mission,government
2597,Microsoft,company
2598,Skatteverket,government
2599,Jamaica Ministry of Tourism,government
2600,FOX & Friends Weekend,tvshow
2601,P.F. Chang's Middle East,company
2602,Lekmer,company
2603,Dog Whisperer with Cesar Millan: Family Edition,tvshow
2604,US Embassy Madrid,government
2605,Préfet de Meurthe-et-Moselle,government
2606,李晏榕 Yen-jong Lee,politician
2607,Amazon Appstore,company
2608,Corporation for National and Community Service,government
2609,Gregor Voht,politician
2610,Andrew Scheer,politician
2611,Consulatul General al Romaniei la Cape Town,government
2612,Tobias Lindner,politician
2613,Christophe Béchu,politician
2614,laSexta l  Deportes,tvshow
2615,National Archives at Fort Worth,government
2616,Barbara Loth,politician
2617,"Ministry of International Trade and Industry, Malaysia",government
2618,Jif,company
2619,Tennessee Valley Authority,company
2620,李眉蓁,politician
2621,Paulo Alexandre Barbosa,politician
2622,Nutella,company
2623,NDR Doku,tvshow
2624,"Jamie Schmale, MP",politician
2625,Patricio Di Stefano,politician
2626,כבאות והצלה לישראל Israel Fire & Rescue Authority,government
2627,Milano Middle East,company
2628,Austrian Embassy London,government
2629,ESET,company
2630,Dude You're Screwed,tvshow
2631,Skit Box,tvshow
2632,The Voice of Italy,tvshow
2633,Niantic,company
2634,Wiko,company
2635,L'OCCITANE en Provence,company
2636,"끝없는 발견, 캐나다에 오신 것을 환영합니다.",government
2637,Blim,company
2638,adidas Basketball,company
2639,Ciudad de Nueva York,government
2640,About a Boy,tvshow
2641,MaltaGov,government
2642,Eurovision Song Malta,company
2643,Ben Wyatt,politician
2644,Préfecture de la Guyane,government
2645,Viddsee 發聲世代,company
2646,ABB,company
2647,American Film Showcase,government
2648,En diálogo con Longobardi,tvshow
2649,Jürgen Preuß,politician
2650,Airtel Zambia,company
2651,Planalto,government
2652,"Midnight, Texas",tvshow
2653,Louis Plamondon,politician
2654,Prefeitura de Aracaju,government
2655,Maryland Department of General Services,government
2656,SAGARPA_mx,government
2657,Club Med,company
2658,Teenage Mutant Ninja Turtles,tvshow
2659,Telenor Velocity,company
2660,Return To Amish,tvshow
2661,Made My Day,company
2662,עיריית חולון,government
2663,À nous Montréal,government
2664,Lula,politician
2665,"India in USA (Consulate General of India, San Francisco)",government
2666,C&A,company
2667,Austrian Embassy Kuwait,government
2668,Sangre De Mi Tierra,tvshow
2669,Lidl Polska,company
2670,Roderick Galdes,politician
2671,Karl-Heinz Brunner,politician
2672,Singapore Embassy in Bangkok,government
2673,US National Weather Service San Juan Puerto Rico,government
2674,Caroline Nokes,politician
2675,Nadim Gemayel,politician
2676,US Embassy Guatemala,government
2677,愛玩客,tvshow
2678,"Augusta, Georgia Fire/EMA",government
2679,Coffee-Mate México,company
2680,"James Rajotte, MP for Edmonton-Leduc",politician
2681,Skatteminister Karsten Lauritzen,politician
2682,INFINITI,company
2683,NSW SES Burraga Unit,government
2684,US National Weather Service Huntsville Alabama,government
2685,Préfet de Saint-Pierre et Miquelon,government
2686,Omoda,company
2687,McDonald's,company
2688,Continente,company
2689,"Giraffe, Erdmännchen & Co.",tvshow
2690,Tranches de vie,tvshow
2691,Marks and Spencer,company
2692,TVBS 一步一腳印 發現新台灣,tvshow
2693,SmarTone,company
2694,Pure Leaf,company
2695,Sophie Karmasin,politician
2696,ANA BLUE WING,company
2697,Pop Trigger,tvshow
2698,Haut-commissariat du Canada au Mozambique,government
2699,אורלי וגיא,tvshow
2700,In aller Freundschaft,tvshow
2701,BASF,company
2702,Mudah.my,company
2703,Matrix Professional Haircare & Color,company
2704,"DCG - Army National Guard, MCoE",government
2705,Disney World Latino,company
2706,Nos Chers Voisins,tvshow
2707,Quien es Quien,tvshow
2708,Prime Ministry of Jordan رئاسة الوزراء - الأردن,government
2709,François de Rugy,politician
2710,Mélanie Joly,politician
2711,Pepito Manaloto,tvshow
2712,Pierre Reid,politician
2713,Road to Brexit,government
2714,National Information Technology Authority - Uganda,government
2715,KAYAK,company
2716,ESPN Polo,tvshow
2717,Volkswagen,company
2718,Embassy of Belgium in Kyiv,government
2719,Claudia Roth,politician
2720,German Embassy Amman - السفـارة الألمـانيـة عمـان,government
2721,Offspring,company
2722,Adairs,company
2723,Morten Helveg Petersen,politician
2724,56th Signal Battalion,government
2725,Café CNN,tvshow
2726,Pepperidge Farm Puff Pastry,company
2727,Embajada de la República Argentina en India / Embassy of Argentina in India,government
2728,Eczacıbaşı Topluluğu,company
2729,El Tribuno Jujuy,company
2730,DIAN Dirección de Impuestos y Aduanas Nacionales de Colombia,government
2731,Prüne Perú,company
2732,Queensland Fire and Emergency Services - QFES,government
2733,Deadwood,tvshow
2734,Michael Gerdes,politician
2735,Team Wallraff - Reporter undercover,tvshow
2736,Chronic Obstructive Pulmonary Disease (COPD) Learn More Breathe Better,government
2737,Maharaja Lawak Mega,tvshow
2738,Israel en Chile,government
2739,林滄敏,politician
2740,Ecobici,government
2741,Albert Stegemann,politician
2742,GIGABYTE PC Portables France,company
2743,Curb Your Enthusiasm,tvshow
2744,Australia in Brunei Darussalam,government
2745,Emma Kealy for Lowan,politician
2746,Chris Warkentin,politician
2747,Carlos Solís,politician
2748,Jan Deboy,politician
2749,Shimano-MTB,company
2750,Seattle City Light,government
2751,Embajada de Canadá en Uruguay,government
2752,udn tv【大而話之】,tvshow
2753,Carlos Minc,politician
2754,Gregor Gysi,politician
2755,Prep & Landing,tvshow
2756,Disney On Ice,company
2757,Suprema Corte de Justicia de la Nación,government
2758,Jacob Bundsgaard,politician
2759,RPCV Careers,government
2760,What's On 6,tvshow
2761,Tony Perrett,politician
2762,Brothers and Sisters,tvshow
2763,Italia's Got Talent Official,tvshow
2764,Jim Flaherty,politician
2765,The Notebook,company
2766,FEMSA,company
2767,NSW SES Illawarra South Coast Region,government
2768,Sarah Ryglewski,politician
2769,Chronic Tacos,company
2770,F*hits,company
2771,Simon O'Connor,politician
2772,Africell Uganda,company
2773,U.S. Army Cadet Command (ROTC),government
2774,Consulate General of Japan in Detroit 在デトロイト日本国総領事館,government
2775,Gonzaga Patriota,politician
2776,French Ministry of Foreign Affairs,government
2777,ShopBack,company
2778,Dancing With The Stars. Taniec z Gwiazdami,tvshow
2779,Jan Logie MP,politician
2780,Aida Hadzialic,politician
2781,Institut Polonais,government
2782,Jorge Ramos y su Banda,tvshow
2783,Brooks Running,company
2784,Guaraná Backus,company
2785,Deputado Arnaldo Faria de Sá,politician
2786,Consulado de la República  Argentina en Recife,government
2787,Melissa & Joey,tvshow
2788,SHARK Energy,company
2789,Frank Müller MdL,politician
2790,nissa,tvshow
2791,好想談戀愛,tvshow
2792,星期二特写TuesdayReport,tvshow
2793,I Love Baking SA,company
2794,German Information Centre Africa,government
2795,Ministerium für Ländlichen Raum und Verbraucherschutz Baden-Württemberg,government
2796,Bill Frick,politician
2797,Museo Archeologico Nazionale della Valle Camonica,government
2798,Food4Inspiration,company
2799,Allianz Polska,company
2800,TRAI -Telecom Regulatory Authority of India,government
2801,QuikTrip,company
2802,"India in Sweden (Embassy of India, Stockholm)",government
2803,Indian Motorcycle,company
2804,Triumph,company
2805,Alabama National Guard,government
2806,NOAA Ocean Acidification Program,government
2807,Testé sur des humains,tvshow
2808,Ana Rita Esgario,politician
2809,"Ministry of New and Renewable Energy (MNRE), Government of India",government
2810,Crocs,company
2811,Mariano Rabino,politician
2812,"U.S. Embassy Colombo, Sri Lanka",government
2813,"Australian Embassy, Ireland",government
2814,SRF bi de Lüt,tvshow
2815,Youmiam,company
2816,Víctor Sánchez Orozco,politician
2817,Heino Knudsen,politician
2818,Brendon Grylls,politician
2819,USAG-MIAMI FMWR,government
2820,Kamp Heumensoord,company
2821,Scopri il Giappone,government
2822,USAID Mozambique,government
2823,יעל גרמן - Yael German,politician
2824,Fort Benning Television,government
2825,Thomas Oppermann,politician
2826,Candia,company
2827,Iris Eberl,politician
2828,First Coast Living,tvshow
2829,Atacadão_SA,company
2830,Leanne Linard MP,politician
2831,Mitsubishi Motors Chile,company
2832,"Ministerio de Vivienda, Ciudad y Territorio",government
2833,B&M,company
2834,Kailash Vijayvargiya,politician
2835,Günter Lach,politician
2836,NCDPI Division of Digital Teaching and Learning,government
2837,Butterkist,company
2838,HBO Boardwalk Empire Latinoamérica,tvshow
2839,Jarosław Sellin - oficjalna strona,politician
2840,Sybille Benning,politician
2841,Maryland Historical Trust,government
2842,visitPA,company
2843,Embassy of the Netherlands in Pakistan,government
2844,Zé Maranhão,politician
2845,Esurance,company
2846,Embassy of the Netherlands in Ghana,government
2847,National Marine Sanctuary of American Samoa,government
2848,SDCountyHHSA,government
2849,Actimel,company
2850,Doris Wagner,politician
2851,Consulado Geral EUA / US Consulate - Rio,government
2852,Israel in Nepal,government
2853,Go USA,company
2854,Looney Tunes,tvshow
2855,Visit Malta,company
2856,House Committee on Financial Services,government
2857,Microsoft,company
2858,VisitEngland,company
2859,Sisäministeriö,government
2860,New York Life Insurance Company,company
2861,Dante Delgado,politician
2862,Bundesheer,government
2863,Oxigênio Aceleradora,company
2864,"I Wanna Marry ""Harry""",tvshow
2865,Meals With Kraft,company
2866,Anderson Ferreira,politician
2867,Katharina Gebauer,politician
2868,賴瑞隆,politician
2869,李俊俋,politician
2870,Delaware Division of Motor Vehicles,government
2871,Sethrida Geagea,politician
2872,Minority Report FOX,tvshow
2873,IndigoKids,company
2874,3d U.S. Infantry Regiment (The Old Guard),government
2875,Chicago P.D.,tvshow
2876,賈伯楷,politician
2877,Dr. Tóth Bertalan,politician
2878,Ralph Northam,politician
2879,The Source,company
2880,ReadySanDiego,government
2881,Lay's Canada,company
2882,Yvette Berry,politician
2883,Samir Geagea,politician
2884,DW - Conflict Zone,tvshow
2885,City of Pasadena - Public Agency,government
2886,Israel in New York,government
2887,Deputado Toninho Wandscheer,politician
2888,Chupa Chups,company
2889,Janez Janša,politician
2890,The Neighbors,tvshow
2891,Luis Carlos Torres Rueda,politician
2892,British Embassy Yerevan,government
2893,Wayfair,company
2894,Cablevisión Fibertel,company
2895,Pierre Laurent,politician
2896,Nutella,company
2897,The Middle,tvshow
2898,Krzysztof Szczerski,politician
2899,Rischiatutto,tvshow
2900,The Carmichael Show,tvshow
2901,Te Karere,tvshow
2902,Keith Pitt,politician
2903,Careem,company
2904,Precipitation Measurement Missions,government
2905,Lucky Dog,tvshow
2906,Programa do Porchat,tvshow
2907,CCM Hockey,company
2908,T.C. Banjul Büyükelçiliği,government
2909,Lidl UK,company
2910,Páginas Amarillas,company
2911,AT&T Mx,company
2912,WDR Lokalzeit aus Köln,tvshow
2913,T.C. İskenderiye Başkonsolosluğu/Turkish Consulate General in Alexandria,government
2914,US National Weather Service Hastings Nebraska,government
2915,חדשות הבוקר,tvshow
2916,Albert Rivera,politician
2917,行政院大陸委員會,government
2918,Matt Hancock,politician
2919,1&1 Hosting Guide,company
2920,McDonald's,company
2921,Embassy of Canada to Korea,government
2922,Giuseppe Brescia,politician
2923,SanDisk,company
2924,MinuteClinic,company
2925,Congressman Joe Barton,politician
2926,Nike+ Run Club,company
2927,Peace Corps Nepal,government
2928,Decameron All Inclusive Hotels & Resorts,company
2929,Attorney General Eric Schneiderman,politician
2930,Reinhold Gall MdL,politician
2931,Terry Healy MLA,politician
2932,"Chief Electoral Officer, Meghalaya",government
2933,Invitrogen,company
2934,Peace Corps Peru,government
2935,"Pat McGuire, State Senator",politician
2936,林宜瑾,politician
2937,Bobby Morrissey,politician
2938,Martin Schulz - Former President of the European Parliament,government
2939,Vodafone Careers,company
2940,Embassy of Finland in Windhoek - Suomen suurlähetystö Windhoekissa,government
2941,Försvarsmakten Jobb & karriär,government
2942,"Fort George G. Meade, Md",government
2943,Estonian Embassy in Tokyo,government
2944,Moldcell,company
2945,Open for Business,government
2946,Marek Gróbarczyk - Minister Gospodarki Morskiej i Żeglugi Śródlądowej,politician
2947,UniMás,tvshow
2948,Amazon.ca,company
2949,משרד מבקר המדינה ונציב תלונות הציבור,government
2950,Tomás Gómez,politician
2951,KFC,company
2952,Club Med,company
2953,Samsung Egypt,company
2954,Fernando Capez,politician
2955,Israel in Ghana,government
2956,Speedo,company
2957,Jumia,company
2958,City Sightseeing,company
2959,Ewen Jones,politician
2960,Embassy of Finland in Maputo - Suomen suurlähetystö Maputo,government
2961,Charles Ange Ginesy,politician
2962,RÁDIO NOVA ERA,company
2963,Catlike,company
2964,სოფლის მეურნეობის სამინისტრო / Ministry of Agriculture of Georgia,government
2965,Izalci Lucas,politician
2966,The X Factor Israel אקס פקטור ישראל,tvshow
2967,"Charlie Battery, 1-79 FA Basic Combat Training",government
2968,Maryland Attorney General,government
2969,VA Palo Alto Health Care System,government
2970,501st Brigade Support Battalion,government
2971,Player Gets Played,tvshow
2972,SENATUR,government
2973,What's On Melbourne,government
2974,Israel in South Africa,government
2975,Sunil Deodhar,politician
2976,Deputado Marcon,politician
2977,California Emergency Medical Services Authority (EMSA),government
2978,Préfet des Deux-Sèvres,government
2979,Programa de Transformación Productiva,government
2980,Forum Austriaco di Cultura Roma / Österreichisches Kulturforum Rom,government
2981,U.S. Army Armor School,government
2982,Deutsche Bahn Konzern,company
2983,Stirling Hinchliffe MP,politician
2984,Alitalia,company
2985,Deputado Abel Galinha,politician
2986,Listening Library,company
2987,Consulatul General al României la Bilbao,government
2988,Badan Pusat Statistik,government
2989,Caroline Flint MP,politician
2990,ABC7NY,tvshow
2991,US National Weather Service Portland Oregon,government
2992,Yahoo!ビューティー,company
2993,Orange,company
2994,TV Azteca Regional,company
2995,Sebile Innovative Fishing,company
2996,Comcast Business,company
2997,NJ Division of Fish and Wildlife,government
2998,Heidi Heitkamp,politician
2999,Ross Hart MP,politician
3000,Digicel,company
3001,friDay購物,company
3002,Cesar Maia,politician
3003,Jürgen Krämer,politician
3004,Lowe's Home Improvement,company
3005,Ambassade de France au Cambodge,government
3006,Whiteman Air Force Base,government
3007,Zihni,politician
3008,Konsulat Generalny Niemiec w Gdańsku,government
3009,Australian Embassy in the Netherlands,government
3010,KAI121,company
3011,黃健庭,politician
3012,The Steve Wilkos Show,tvshow
3013,Karina Barrón,politician
3014,Rishi Sunak,politician
3015,Binging with Babish,tvshow
3016,Eleanor Holmes Norton,politician
3017,Qlik,company
3018,Congressman G. K. Butterfield,politician
3019,La Boîte à Questions,tvshow
3020,Austrian Embassy Bucharest,government
3021,Igualdade Racial,government
3022,VLOG,tvshow
3023,Kate Johnson,company
3024,Naval Air Station Patuxent River,government
3025,FUZE,company
3026,Manlio Fabio Beltrones Rivera,politician
3027,Colciencias,government
3028,Carlos Castellano,politician
3029,Rob Molhoek MP,politician
3030,شاهد على العصر,tvshow
3031,Sol House,company
3032,Tessa Jowell,politician
3033,Baidu Inc.,company
3034,Carrefour,company
3035,ShopBack,company
3036,Town of Westlake-Government,government
3037,"Embassy of Afghanistan, Washington, D.C.",government
3038,Suunto,company
3039,海洋國家公園管理處,government
3040,U.S. Army Garrison Rheinland-Pfalz,government
3041,Truls á la Hellstrøm,tvshow
3042,Montana's BBQ,company
3043,New York State Adirondack Park Agency,government
3044,Embassy of Switzerland in Armenia,government
3045,Family 100 Indonesia,tvshow
3046,Fort Lee Army Community Service,government
3047,Project Runway,tvshow
3048,Lidl Slovenija,company
3049,Julio Cobos,politician
3050,Jason Woodforth - Former MP For Nudgee,politician
3051,Les échangistes,tvshow
3052,Malena Massa,politician
3053,IMPD News,government
3054,Andrew Holness,politician
3055,FICOHSA,company
3056,Coca-Cola Freestyle,company
3057,Florent Marcellesi,politician
3058,QALO,company
3059,Sénateur Michel Clérié,politician
3060,San Pellegrino,company
3061,IBM Sudamérica,company
3062,NSW SES Liverpool,government
3063,Edward O'Donohue MP,politician
3064,Dr. Saskia Ludwig,politician
3065,"Outback Australien, Territoire du Nord",company
3066,Join FDNY,government
3067,Kementerian Kerja Raya Malaysia,government
3068,Gatorade Endurance,company
3069,Frank And Oak,company
3070,Arno Klare MdB,politician
3071,Incucai,government
3072,Nicola Beer,politician
3073,"Norfolk District, U.S. Army Corps of Engineers",government
3074,24: Legacy,tvshow
3075,Francesca Balzani,politician
3076,Windows,company
3077,Chief of Air Defense and Regimental CSM,government
3078,DW - Bundesliga Kick off,tvshow
3079,"Dayton, Ohio - City Government",government
3080,LOTTE Homeshopping,company
3081,Last Man Standing,tvshow
3082,Sanjay Tandon,politician
3083,David Rachline,politician
3084,Peter Schiefke,politician
3085,Gumtree UK,company
3086,Kia Motors UK,company
3087,Yo! MTV Raps,tvshow
3088,CONAVIM,government
3089,NYC Condom - Get Some!,government
3090,Barne- og likestillingsdepartementet (Norge),government
3091,United States of Tara,tvshow
3092,Air Dolomiti,company
3093,Dr. Jan-Marco Luczak MdB,politician
3094,إسرائيل تتكلم بالعربية,government
3095,Emmi Zeulner,politician
3096,Maria Chiara Carrozza,politician
3097,U.S. Africa Command (AFRICOM),government
3098,"City of Sandy, Oregon – City Government",government
3099,Nike Cricket,company
3100,82nd Airborne Division Band,government
3101,Kortney & Dave,tvshow
3102,Polizei NRW Wuppertal,government
3103,Wayward Pines,tvshow
3104,Ketil Solvik-Olsen,politician
3105,Fotolia,company
3106,Mark Schauer,politician
3107,Hartmut Koschyk,politician
3108,林俊憲,politician
3109,МакКафе. Все хорошее начинается с хорошего кофе,company
3110,"1st Battalion, 38th Infantry Regiment, 1st Stryker Brigade Combat Team",government
3111,Kmart Australia,company
3112,Lloyds Bank,company
3113,British Army Photographers,government
3114,NightWash,tvshow
3115,Fort Drum Employment Readiness Program  Army Community Service,government
3116,Malou Efter tio,tvshow
3117,EndemolShine France,tvshow
3118,Antel,company
3119,The Rap Game,tvshow
3120,Elisabeth Winkelmeier-Becker,politician
3121,Lerchenberg,tvshow
3122,他看她的第2眼,tvshow
3123,Mark Harper,politician
3124,Bayer Aspirin,company
3125,CNB Drug Free SG,government
3126,Rucker CYS,government
3127,Murdoch Mysteries,tvshow
3128,NASA's Launch Services Program,government
3129,Australian Avocados,company
3130,Pfizer,company
3131,German Consulate General in Chicago,government
3132,KFC,company
3133,Superintendencia Nacional de Fiscalización Laboral del Perú,government
3134,Gustav Fridolin,politician
3135,MONIN,company
3136,Maria Vamvakinou MP,politician
3137,Sparkasse,company
3138,Yasmin Catley MP,politician
3139,Caso Cerrado - Telemundo,tvshow
3140,Herbert Woerlein,politician
3141,Beef Buddies,tvshow
3142,Swiss Cooperation Mekong,government
3143,Devinder Shory,politician
3144,Universal Music France,company
3145,naturalizer Thailand,company
3146,René Rock,politician
3147,Deputado Alan Rick,politician
3148,Microsoft,company
3149,Suella Fernandes MP,politician
3150,"New Zealand High Commission to India, Bangladesh, Nepal & Sri Lanka",government
3151,Sun Country 99.7 FM,company
3152,Bankmed,company
3153,6abc Action News,tvshow
3154,Canadian Heritage,government
3155,Ricardo Anaya Cortés,politician
3156,Padre João PT,politician
3157,MZ,company
3158,Carlisle Barracks MWR,government
3159,TechKnow,tvshow
3160,Heidtrud Henn,politician
3161,Marchesi 1824,company
3162,CucinaBarilla,company
3163,Alisto,tvshow
3164,DHL Africa,company
3165,Married to Medicine,tvshow
3166,Stefan Ebner,politician
3167,mydays,company
3168,Caroline Lucas,politician
3169,Daria,tvshow
3170,Julio Garro,politician
3171,Deniz Kurku - SPD,politician
3172,CONABIO,government
3173,NYPD 69th Precinct,government
3174,German Embassy Addis Ababa,government
3175,Steven Fletcher,politician
3176,SPAR Österreich,company
3177,Nicky Morgan MP,politician
3178,"Andrés ""Cuervo"" Larroque",politician
3179,The Voice Portugal,tvshow
3180,USAID DRC,government
3181,Голос країни (Voice of the Country),tvshow
3182,Maryland State Retirement and Pension System,government
3183,Cadbury Bournville,company
3184,Emmerdale,tvshow
3185,Gesine Meißner,politician
3186,Pam Panorama,company
3187,Danette France,company
3188,MAC Cosmetics,company
3189,Niko Grünfeld,politician
3190,الشيف حسن,tvshow
3191,Christelle Morançais,politician
3192,Piotr Cieśliński Poseł na Sejm RP,politician
3193,Biker Live,tvshow
3194,BAJoven,government
3195,Relais & Châteaux,company
3196,하와이안 항공,company
3197,Pékin Express,tvshow
3198,Deborah Bergamini,politician
3199,Ministerio de Cultura del Perú,government
3200,Shimano-MTB,company
3201,Jarosław Kalinowski,politician
3202,後菜鳥的燦爛時代,tvshow
3203,Werken bij Defensie,government
3204,Ministerio de la Mujer y Poblaciones Vulnerables del Perú,government
3205,Lavazza,company
3206,Statoil,company
3207,Iracema Portella,politician
3208,Ben Weyts,politician
3209,The Nightly Show,tvshow
3210,Argos,company
3211,59th Ordnance Brigade,government
3212,Culture Vélo,tvshow
3213,Airtel Uganda,company
3214,Hochzeit auf den ersten Blick,tvshow
3215,Unieuro,company
3216,Crocs,company
3217,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,government
3218,ABB,company
3219,Kix Cereal,company
3220,Ute Meiers,politician
3221,MDR Umschau,tvshow
3222,Parks Australia,government
3223,Senator Glenn Sterle,politician
3224,T.C. Lizbon Büyükelçiliği /  Embaixada da Turquia em Lisboa,government
3225,Hier und heute,tvshow
3226,Jeff Landry,politician
3227,Nestle Ice-Cream Bulgaria,company
3228,Chuck Grassley,politician
3229,U.S. Department of Energy Office of Energy Efficiency and Renewable Energy,government
3230,Korean Air,company
3231,Vicentinho Alves,politician
3232,Bosch Italia,company
3233,NSW SES Waverley Woollahra Unit,government
3234,Sylvain Gaudreault,politician
3235,BAR ONE,company
3236,Consulado Argentino en Johannesburgo,government
3237,Сніданок з 1+1,tvshow
3238,Anna Wasilewska,politician
3239,HPSP Vet Students,government
3240,House Husbands,tvshow
3241,Almost Human,tvshow
3242,Picatinny Arsenal,government
3243,Vincenzo Copertino,politician
3244,Town of Oro Valley - Government,government
3245,The Haunting Of on LMN,tvshow
3246,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),government
3247,Naked Juice,company
3248,hummel (ヒュンメル）,company
3249,Mentos,company
3250,Tabasco,company
3251,Boar's Head,company
3252,indigenous.gov.au,government
3253,Elena Fattori Senato M5S,politician
